step,date_main,price_main,action_main,action_name_main,prob_hold_main,prob_buy_main,prob_sell_main,confidence_main,value_estimate_main,portfolio_value_main,cash_main,position_value_main,position_quantity_main,rsi_14_main,macd_main,sma_20_main,sma_50_main,bb_position_main,date_other,price_other,action_other,action_name_other,prob_hold_other,prob_buy_other,prob_sell_other,confidence_other,value_estimate_other,portfolio_value_other,cash_other,position_value_other,position_quantity_other,rsi_14_other,macd_other,sma_20_other,sma_50_other,bb_position_other,disagreement,price_change_next_5d,main_was_right
0,2024-08-20,59012.79296875,1,BUY,0.332648,0.45477176,0.21258023,0.45477176,0.21807914972305298,100000.0,100000.0,0.0,0.0,57.38886707462146,-992.0435408539488,59225.1578125,61371.839609375,0.4787728605797276,2024-08-20,59012.79296875,2,SELL,0.34416956,0.30235547,0.353475,0.353475,0.390537291765213,100000.0,100000.0,0.0,0.0,57.38886707462146,-992.0435408539488,59225.1578125,61371.839609375,0.4787728605797276,True,0.09016265342359886,True
1,2024-08-21,61175.19140625,1,BUY,0.30168685,0.4685277,0.22978553,0.4685277,0.24352005124092102,99999.0,98999.0,999.9999999999999,0.01694547825468193,64.42404153868516,-769.8619935819952,59016.0423828125,61354.763125,0.7564499948470199,2024-08-21,61175.19140625,2,SELL,0.36481532,0.24587917,0.38930556,0.38930556,0.5528935194015503,100000.0,100000.0,0.0,0.0,64.42404153868516,-769.8619935819952,59016.0423828125,61354.763125,0.7564499948470199,True,0.027878437497226294,True
2,2024-08-22,60381.9140625,1,BUY,0.33231664,0.44182906,0.22585428,0.44182906,0.2581327259540558,100034.64251927186,97997.64321481423,2036.9993044576208,0.03329780026237089,45.69354750871043,-650.2961592540305,58964.384765625,61358.92296875,0.6724526365605819,2024-08-22,60381.9140625,2,SELL,0.36856386,0.25757536,0.3738608,0.3738608,0.4501011371612549,100000.0,100000.0,0.0,0.0,45.69354750871043,-650.2961592540305,58964.384765625,61358.92296875,0.6724526365605819,True,-0.014537155100638688,False
3,2024-08-23,64094.35546875,1,BUY,0.29609028,0.46069637,0.2432134,0.46069637,0.10987270623445511,100007.22804644571,96996.56085124568,3010.6671952000393,0.04986041336953584,58.78029448408943,-253.0592690768026,59135.0978515625,61501.256015625,1.0324321374338394,2024-08-23,64094.35546875,0,HOLD,0.38716996,0.26626852,0.34656152,0.38716996,0.3218172788619995,100000.0,100000.0,0.0,0.0,58.78029448408943,-253.0592690768026,59135.0978515625,61501.256015625,1.0324321374338394,True,-0.07905111817873489,False
4,2024-08-24,64178.9921875,1,BUY,0.31279927,0.45342705,0.2337737,0.45342705,0.13976314663887024,100191.32998625243,95993.63560883087,4197.69437742156,0.06549241889901207,58.82289735944342,67.80172807432245,59438.1986328125,61651.588359375,0.9609870871359113,2024-08-24,64178.9921875,2,SELL,0.34629804,0.23219834,0.4215036,0.4215036,0.39381498098373413,100000.0,100000.0,0.0,0.0,58.82289735944342,67.80172807432245,59438.1986328125,61651.588359375,0.9609870871359113,True,-0.0746476742109562,False
5,2024-08-25,64333.54296875,1,BUY,0.3073142,0.4656748,0.22701097,0.4656748,0.06790841370820999,100195.87108096055,94990.66490960347,5205.206171357084,0.08110451713155586,67.27308389662392,330.7447171890235,59955.3029296875,61772.1884375,0.9457969463818708,2024-08-25,64333.54296875,2,SELL,0.34203535,0.25077662,0.407188,0.407188,0.5000138878822327,100000.0,100000.0,0.0,0.0,67.27308389662392,330.7447171890235,59955.3029296875,61772.1884375,0.9457969463818708,True,-0.0810474002462872,False
6,2024-08-26,62880.66015625,1,BUY,0.31856886,0.44875818,0.23267297,0.44875818,0.1559891402721405,100207.40376338766,93987.57876707053,6219.824996317131,0.09668090251672302,60.32924775442678,417.0855274106434,60297.6201171875,61912.819453125,0.7742004582865142,2024-08-26,62880.66015625,2,SELL,0.37167093,0.23972994,0.3885991,0.3885991,0.42786991596221924,100000.0,100000.0,0.0,0.0,60.32924775442678,417.0855274106434,60297.6201171875,61912.819453125,0.7742004582865142,True,-0.062193394742235286,False
7,2024-08-27,59504.1328125,1,BUY,0.31781796,0.46874237,0.21343958,0.46874237,0.16438382863998413,100065.93707244672,92985.90872027488,7080.0283521718375,0.11259468864638057,47.119798806968475,210.62574130323628,60521.4537109375,61968.80015625,0.3738543258648838,2024-08-27,59504.1328125,0,HOLD,0.38366377,0.3243099,0.2920264,0.38366377,0.13052065670490265,100000.0,100000.0,0.0,0.0,47.119798806968475,210.62574130323628,60521.4537109375,61968.80015625,0.3738543258648838,True,-0.036613331348177125,False
8,2024-08-28,59027.625,1,BUY,0.3132926,0.45361355,0.23309387,0.45361355,0.18881091475486755,99684.76116989092,91988.0542824199,7696.706887471028,0.1293474339290629,50.815860742907326,8.45718604754802,60387.328125,61989.168125,0.33189816278930273,2024-08-28,59027.625,0,HOLD,0.37988898,0.35392857,0.26618248,0.37988898,0.19233033061027527,100000.0,100000.0,0.0,0.0,50.815860742907326,8.45718604754802,60387.328125,61989.168125,0.33189816278930273,True,0.001437555191319273,True
9,2024-08-29,59388.1796875,1,BUY,0.31552047,0.47428685,0.2101927,0.47428685,0.14615342020988464,99622.12987583583,90990.82679008786,8631.30308574797,0.14622480721099604,55.38373966568031,-121.27116207069776,60312.7314453125,62022.081796875,0.38616741796108156,2024-08-29,59388.1796875,0,HOLD,0.37689495,0.30013332,0.3229717,0.37689495,0.24205809831619263,100000.0,100000.0,0.0,0.0,55.38373966568031,-121.27116207069776,60312.7314453125,62022.081796875,0.38616741796108156,True,-0.032955316365959275,False
